text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
I LOVE JON SNOW AND DAENERYS TARGARYEN FOREVER.,05/19/2019,Daenerys Targaryen,Pos,0.5,0.6,05/19/2019 23:59:22,i love jon snow and daenerys targaryen forever
RT @AngelaKinsey: Daenerys Targaryen and Angela Martin would probably be bffs. #motherofdragons #motherofcats 🐉 🐈 https://t.co/BUtioMmUFj,05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:59:14,rt angelakinsey daenerys targaryen and angela martin would probably be bffs motherofdragons motherofcats http co butiommufj
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:59:12,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
Daenerys Targaryen aka my favorite TV show character of all time. #GamefThrones #GameOfThronesFinale https://t.co/oWA0qEIrJJ,05/19/2019,Daenerys Targaryen,Pos,0.5,1.0,05/19/2019 23:59:11,daenerys targaryen aka my favorite tv show character of all time gamefthrones gameofthronesfinale http co owa0qeirjj
"RT @san_deepk: Daenerys Targaryen’s @emiliaclarke journey was a long and sad one, but she’ll always be remembered as one of the most iconic…",05/19/2019,Daenerys Targaryen,Neg,-0.01666666666666668,0.6333333333333333,05/19/2019 23:59:10,rt san_deepk daenerys targaryen emiliaclarke journey wa long and sad one but she ll always be remembered a one of the most iconic
"RT @DanielStrauss4: Pete Buttigieg on Fox News on Daenerys Targaryen: ""She's made some highly questionable leadership decisions.""",05/19/2019,Daenerys Targaryen,Neg,-0.5,1.0,05/19/2019 23:59:00,rt danielstrauss4 pete buttigieg on fox news on daenerys targaryen she made some highly questionable leadership decision
"RT @aryastarks: emilia clarke IS the face of game of thrones. daenerys targaryen is the most iconic, famous character of the show and not e…",05/19/2019,Daenerys Targaryen,Pos,0.275,0.6,05/19/2019 23:58:45,rt aryastarks emilia clarke is the face of game of throne daenerys targaryen is the most iconic famous character of the show and not
"RT @OddsShark: Odds to be the last character to speak in the final episode of #GameofThrones:

Samwell EVEN
Jon (Aegon) +200
Tyrion +200
Br…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.5333333333333333,05/19/2019 23:58:43,rt oddsshark odds to be the last character to speak in the final episode of gameofthrones samwell even jon aegon 200 tyrion 200 br
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:58:43,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"Pete Buttigieg on Daenerys Targaryen: “She’s made some highly questionable leadership decisions.""",05/19/2019,Daenerys Targaryen,Neg,-0.5,1.0,05/19/2019 23:58:30,pete buttigieg on daenerys targaryen she made some highly questionable leadership decision
RT @reedushiddles: daenerys targaryen in every episodes of game of thrones : a thread,05/19/2019,Daenerys Targaryen,Neg,-0.4,0.4,05/19/2019 23:58:30,rt reedushiddles daenerys targaryen in every episode of game of throne thread
"RT @DanielStrauss4: Pete Buttigieg on Fox News on Daenerys Targaryen: ""She's made some highly questionable leadership decisions.""",05/19/2019,Daenerys Targaryen,Neg,-0.5,1.0,05/19/2019 23:58:22,rt danielstrauss4 pete buttigieg on fox news on daenerys targaryen she made some highly questionable leadership decision
RT @kimmysdaydreams: Thank You #GameofThrones but more importantly Thank You So Much #DaenerysTargaryen &amp; #EmiliaClarke. You taught me to s…,05/19/2019,Daenerys Targaryen,Pos,0.3666666666666667,0.5666666666666667,05/19/2019 23:58:18,rt kimmysdaydreams thank you gameofthrones but more importantly thank you so much daenerystargaryen amp emiliaclarke you taught me to
"RT @oshawildling: daenerys targaryen’s journey was a long and sad one, but she’ll always be remembered as one of the most iconic characters…",05/19/2019,Daenerys Targaryen,Pos,0.11249999999999999,0.6,05/19/2019 23:58:18,rt oshawildling daenerys targaryen journey wa long and sad one but she ll always be remembered a one of the most iconic character
"Dany after decimitating King’s Landing, taking the throne with fire and blood while 2 episodes before saying she wo… https://t.co/lzf8SpAXYw",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:58:18,dany after decimitating king landing taking the throne with fire and blood while 2 episode before saying she wo http co lzf8spaxyw
"Pete Buttigieg on Fox News on Daenerys Targaryen: ""She's made some highly questionable leadership decisions.""",05/19/2019,Daenerys Targaryen,Neg,-0.5,1.0,05/19/2019 23:58:04,pete buttigieg on fox news on daenerys targaryen she made some highly questionable leadership decision
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:58:00,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
I’m ready 🐉 #GamesOfThronesFinale  #DaenerysTargaryen https://t.co/FCfm938IPd,05/19/2019,Daenerys Targaryen,Pos,0.2,0.5,05/19/2019 23:57:48,i ready gamesofthronesfinale daenerystargaryen http co fcfm938ipd
"RT @oshawildling: daenerys targaryen’s journey was a long and sad one, but she’ll always be remembered as one of the most iconic characters…",05/19/2019,Daenerys Targaryen,Pos,0.11249999999999999,0.6,05/19/2019 23:57:35,rt oshawildling daenerys targaryen journey wa long and sad one but she ll always be remembered a one of the most iconic character
"RT @PhotosGoT: In honor of the angel that is Daenerys Targaryen, here’s a thread of photos from every episode that she was in (photos edite…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:57:31,rt photosgot in honor of the angel that is daenerys targaryen here a thread of photo from every episode that she wa in photo edite
"RT @TeddyReis: Squad Goals for the evening: 
Briane boo up with Tormund, and a satisfying end, please
https://t.co/NheVxVc0Rq
#GOT #gameoft…",05/19/2019,Daenerys Targaryen,Pos,0.5,1.0,05/19/2019 23:57:22,rt teddyreis squad goal for the evening briane boo up with tormund and satisfying end please http co nhevxvc0rq got gameoft
People who sit there and say Dany showed she was the mad queen when she was happy her brother died clearly forget S… https://t.co/vpt6Svqsej,05/19/2019,Daenerys Targaryen,Pos,0.09166666666666669,0.7944444444444444,05/19/2019 23:57:20,people who sit there and say dany showed she wa the mad queen when she wa happy her brother died clearly forget http co vpt6svqsej
"RT @sir_balemoh: Today , I say goodbye to my favorite “Daenerys Targaryen, 
First of Her Name
The Unburnt
Queen Of the Andals and the First…",05/19/2019,Daenerys Targaryen,Pos,0.375,0.6666666666666666,05/19/2019 23:57:02,rt sir_balemoh today say goodbye to my favorite daenerys targaryen first of her name the unburnt queen of the andals and the first
"RT @oshawildling: daenerys targaryen’s journey was a long and sad one, but she’ll always be remembered as one of the most iconic characters…",05/19/2019,Daenerys Targaryen,Pos,0.11249999999999999,0.6,05/19/2019 23:56:54,rt oshawildling daenerys targaryen journey wa long and sad one but she ll always be remembered a one of the most iconic character
Some #GameofThrones fanart before the end 😢 #DaenerysTargaryen #JonSnow #AryaStark #SansaStark #DavosSeaworth… https://t.co/jGbDdWWY6J,05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:56:54,some gameofthrones fanart before the end daenerystargaryen jonsnow aryastark sansastark davosseaworth http co jgbddwwy6j
RT @MattOswaltVA: it's gonna be so weird to see Daenerys Targaryen co-starring in some R-rated comedy with Rebel Wilson this time next year…,05/19/2019,Daenerys Targaryen,Neg,-0.25,0.5,05/19/2019 23:56:53,rt mattoswaltva it gonna be so weird to see daenerys targaryen co starring in some rated comedy with rebel wilson this time next year
"RT @aryastarks: emilia clarke IS the face of game of thrones. daenerys targaryen is the most iconic, famous character of the show and not e…",05/19/2019,Daenerys Targaryen,Pos,0.275,0.6,05/19/2019 23:56:40,rt aryastarks emilia clarke is the face of game of throne daenerys targaryen is the most iconic famous character of the show and not
"RT @oshawildling: daenerys targaryen’s journey was a long and sad one, but she’ll always be remembered as one of the most iconic characters…",05/19/2019,Daenerys Targaryen,Pos,0.11249999999999999,0.6,05/19/2019 23:56:30,rt oshawildling daenerys targaryen journey wa long and sad one but she ll always be remembered a one of the most iconic character
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:56:24,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @madisynnunan: a huge thank you to emilia clarke for bringing to life one of the most iconic &amp; strongest characters, daenerys targaryen.…",05/19/2019,Daenerys Targaryen,Pos,0.46666666666666673,0.6333333333333333,05/19/2019 23:56:16,rt madisynnunan huge thank you to emilia clarke for bringing to life one of the most iconic amp strongest character daenerys targaryen
"RT @yeahclarke: Thank you Emilia Clarke for bringing to life my favorite character of all time, Daenerys Targaryen. Your dedication and wor…",05/19/2019,Daenerys Targaryen,Pos,0.5,1.0,05/19/2019 23:56:03,rt yeahclarke thank you emilia clarke for bringing to life my favorite character of all time daenerys targaryen your dedication and wor
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:55:58,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"Mother of Dragons #GOT #GameOfThrones 
#DaenerysTargaryen https://t.co/0lg9Jpi5qW",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:55:50,mother of dragon got gameofthrones daenerystargaryen http co 0lg9jpi5qw
"RT @IRONLOKl: #GameOfThronesFinale #TheFinalEpisode 

who do you want on the iron throne? 

RT for Jon Snow
LIKE for Daenerys Targaryen htt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:55:49,rt ironlokl gameofthronesfinale thefinalepisode who do you want on the iron throne rt for jon snow like for daenerys targaryen htt
MY QUEEN! ❤️👑 #GameOfThronesFinale #GameOfThrones #DaenerysTargaryen @emiliaclarke @HBO @GameOfThrones https://t.co/ycnHvu3aUE,05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:55:34,my queen gameofthronesfinale gameofthrones daenerystargaryen emiliaclarke hbo gameofthrones http co ycnhvu3aue
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:55:30,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:55:24,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:55:23,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
RT @AngelaKinsey: Daenerys Targaryen and Angela Martin would probably be bffs. #motherofdragons #motherofcats 🐉 🐈 https://t.co/BUtioMmUFj,05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:55:20,rt angelakinsey daenerys targaryen and angela martin would probably be bffs motherofdragons motherofcats http co butiommufj
"RT @oshawildling: daenerys targaryen’s journey was a long and sad one, but she’ll always be remembered as one of the most iconic characters…",05/19/2019,Daenerys Targaryen,Pos,0.11249999999999999,0.6,05/19/2019 23:55:17,rt oshawildling daenerys targaryen journey wa long and sad one but she ll always be remembered a one of the most iconic character
"I don’t expect #GameOfThrones to be kind to me tonight, but I started this show only vehemently loving three charac… https://t.co/hNrgXarpd7",05/19/2019,Daenerys Targaryen,Pos,0.39999999999999997,0.9499999999999998,05/19/2019 23:55:15,i don expect gameofthrones to be kind to me tonight but started this show only vehemently loving three charac http co hnrgxarpd7
Still team #DaenerysTargaryen,05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:55:09,still team daenerystargaryen
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:55:07,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @aryastarks: emilia clarke IS the face of game of thrones. daenerys targaryen is the most iconic, famous character of the show and not e…",05/19/2019,Daenerys Targaryen,Pos,0.275,0.6,05/19/2019 23:55:02,rt aryastarks emilia clarke is the face of game of throne daenerys targaryen is the most iconic famous character of the show and not
Anyone feels like @JeffreeStar took a page out of #DaenerysTargaryen  's book?🤣🤣 He was gonna burn the village but… https://t.co/fo05Nj9oDY,05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:55:01,anyone feel like jeffreestar took page out of daenerystargaryen book he wa gonna burn the village but http co fo05nj9ody
RT @AngelaKinsey: Daenerys Targaryen and Angela Martin would probably be bffs. #motherofdragons #motherofcats 🐉 🐈 https://t.co/BUtioMmUFj,05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:54:51,rt angelakinsey daenerys targaryen and angela martin would probably be bffs motherofdragons motherofcats http co butiommufj
"RT @Variety: In honor of the #GameOfThrones series finale, Emilia Clarke recalls her audition to play Daenerys Targaryen https://t.co/rv9kx…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:54:51,rt variety in honor of the gameofthrones series finale emilia clarke recall her audition to play daenerys targaryen http co rv9kx
RT @MattOswaltVA: it's gonna be so weird to see Daenerys Targaryen co-starring in some R-rated comedy with Rebel Wilson this time next year…,05/19/2019,Daenerys Targaryen,Neg,-0.25,0.5,05/19/2019 23:54:48,rt mattoswaltva it gonna be so weird to see daenerys targaryen co starring in some rated comedy with rebel wilson this time next year
Chose your House 🛡⚔️🏰 #GameOfThronesFinale @GameOfThrones #GoT #GameOfTrones #CerseiLannister #DaenerysTargaryen #JohnSnow,05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:54:47,chose your house gameofthronesfinale gameofthrones got gameoftrones cerseilannister daenerystargaryen johnsnow
"RT @aryastarks: emilia clarke IS the face of game of thrones. daenerys targaryen is the most iconic, famous character of the show and not e…",05/19/2019,Daenerys Targaryen,Pos,0.275,0.6,05/19/2019 23:54:41,rt aryastarks emilia clarke is the face of game of throne daenerys targaryen is the most iconic famous character of the show and not
"#JonSnow and #DaenerysTargaryen tonight: 
#GameOfThrones https://t.co/JjSvTjbOcQ",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:54:38,jonsnow and daenerystargaryen tonight gameofthrones http co jjsvtjbocq
"RT @Variety: In honor of the #GameOfThrones series finale, Emilia Clarke recalls her audition to play Daenerys Targaryen https://t.co/rv9kx…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:54:28,rt variety in honor of the gameofthrones series finale emilia clarke recall her audition to play daenerys targaryen http co rv9kx
RT @DanyUnburnt: Thank you Emilia Clarke for bringing to life a powerful &amp; complicated character. Daenerys Targaryen has help shape lives o…,05/19/2019,Daenerys Targaryen,Neg,-0.1,1.0,05/19/2019 23:54:20,rt danyunburnt thank you emilia clarke for bringing to life powerful amp complicated character daenerys targaryen ha help shape life
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:54:19,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @madisynnunan: a huge thank you to emilia clarke for bringing to life one of the most iconic &amp; strongest characters, daenerys targaryen.…",05/19/2019,Daenerys Targaryen,Pos,0.46666666666666673,0.6333333333333333,05/19/2019 23:54:08,rt madisynnunan huge thank you to emilia clarke for bringing to life one of the most iconic amp strongest character daenerys targaryen
"RT @IRONLOKl: #GameOfThronesFinale #TheFinalEpisode 

who do you want on the iron throne? 

RT for Jon Snow
LIKE for Daenerys Targaryen htt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:54:07,rt ironlokl gameofthronesfinale thefinalepisode who do you want on the iron throne rt for jon snow like for daenerys targaryen htt
"“We’re all Mad here”. 
Today’s the day. Who do you think will win the Iron Throne?
.
.
.
.
#GameOfThrones… https://t.co/DpK79HRJvf",05/19/2019,Daenerys Targaryen,Pos,0.08750000000000002,0.7,05/19/2019 23:53:55,we re all mad here today the day who do you think will win the iron throne gameofthrones http co dpk79hrjvf
"RT @aryastarks: emilia clarke IS the face of game of thrones. daenerys targaryen is the most iconic, famous character of the show and not e…",05/19/2019,Daenerys Targaryen,Pos,0.275,0.6,05/19/2019 23:53:51,rt aryastarks emilia clarke is the face of game of throne daenerys targaryen is the most iconic famous character of the show and not
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:53:49,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"@The_Poolshark @jackfrags Jacob Anderson ""Grey Worm"" or Jerome Flynn ""Bronn"" kills Emilia Clarke ""Daenerys Targarye… https://t.co/YzS9qNBt4h",05/19/2019,Daenerys Targaryen,Neg,-0.05,0.1,05/19/2019 23:53:48,the_poolshark jackfrags jacob anderson grey worm or jerome flynn bronn kill emilia clarke daenerys targarye http co yzs9qnbt4h
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:53:43,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:53:38,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @PhotosGoT: In honor of the angel that is Daenerys Targaryen, here’s a thread of photos from every episode that she was in (photos edite…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:53:36,rt photosgot in honor of the angel that is daenerys targaryen here a thread of photo from every episode that she wa in photo edite
"RT @oshawildling: daenerys targaryen’s journey was a long and sad one, but she’ll always be remembered as one of the most iconic characters…",05/19/2019,Daenerys Targaryen,Pos,0.11249999999999999,0.6,05/19/2019 23:53:35,rt oshawildling daenerys targaryen journey wa long and sad one but she ll always be remembered a one of the most iconic character
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:53:28,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:53:20,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:53:19,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @san_deepk: Daenerys Targaryen’s @emiliaclarke journey was a long and sad one, but she’ll always be remembered as one of the most iconic…",05/19/2019,Daenerys Targaryen,Neg,-0.01666666666666668,0.6333333333333333,05/19/2019 23:53:10,rt san_deepk daenerys targaryen emiliaclarke journey wa long and sad one but she ll always be remembered a one of the most iconic
"Thanks to everyone involved in making Game of Thrones, a TV show that will always remain my favorite.
Thank You for… https://t.co/uA1nDi8F5j",05/19/2019,Daenerys Targaryen,Pos,0.09999999999999999,0.5333333333333333,05/19/2019 23:53:09,thanks to everyone involved in making game of throne tv show that will always remain my favorite thank you for http co ua1ndi8f5j
"RT @PhotosGoT: In honor of the angel that is Daenerys Targaryen, here’s a thread of photos from every episode that she was in (photos edite…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:52:53,rt photosgot in honor of the angel that is daenerys targaryen here a thread of photo from every episode that she wa in photo edite
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:52:44,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"I'm not prepared for THIS but let's go  
#GameofThrones 
#GameOfThronesFinale 
#DaenerysTargaryen ❤🇧🇷 https://t.co/PgTrkLgUEY",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:52:41,i not prepared for this but let go gameofthrones gameofthronesfinale daenerystargaryen http co pgtrklguey
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:52:33,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"The writing could of been better this final season, but I still believe that #GameOfThrones is the greatest televis… https://t.co/XQ6Ms0uU0D",05/19/2019,Daenerys Targaryen,Pos,0.5,0.8333333333333334,05/19/2019 23:52:32,the writing could of been better this final season but still believe that gameofthrones is the greatest televis http co xq6ms0uu0d
"RT @PhotosGoT: In honor of the angel that is Daenerys Targaryen, here’s a thread of photos from every episode that she was in (photos edite…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:52:31,rt photosgot in honor of the angel that is daenerys targaryen here a thread of photo from every episode that she wa in photo edite
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:52:29,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @Variety: In honor of the #GameOfThrones series finale, Emilia Clarke recalls her audition to play Daenerys Targaryen https://t.co/rv9kx…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:52:25,rt variety in honor of the gameofthrones series finale emilia clarke recall her audition to play daenerys targaryen http co rv9kx
RT @alefvernon: I will take what is mine with fire and blood 🐉🖤🔥 Obg por tudo Khaleesi #DaenerysTargaryen #GameOfThronesFinale #GameOfThron…,05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:52:23,rt alefvernon will take what is mine with fire and blood obg por tudo khaleesi daenerystargaryen gameofthronesfinale gameofthron
RT @COED: Ranking the #GameofThrones characters most likely to kill #Daenerys https://t.co/hVTRRGFD9Z,05/19/2019,Daenerys Targaryen,Pos,0.25,0.75,05/19/2019 23:52:21,rt coed ranking the gameofthrones character most likely to kill daenerys http co hvtrrgfd9z
What if #DaenerysTargaryen doesnt die and ends up on the Throne??,05/19/2019,Daenerys Targaryen,Neu,0.0,0.0,05/19/2019 23:52:21,what if daenerystargaryen doesnt die and end up on the throne
"RT @oshawildling: daenerys targaryen’s journey was a long and sad one, but she’ll always be remembered as one of the most iconic characters…",05/19/2019,Daenerys Targaryen,Pos,0.11249999999999999,0.6,05/19/2019 23:52:14,rt oshawildling daenerys targaryen journey wa long and sad one but she ll always be remembered a one of the most iconic character
